image,severity,coverage,marker_found,n_mtf_edges,psf_sigma_true,psf_sigma_est,psf_sigma_rel_err,psf_method,veil_fraction_true,veil_fraction_est,veil_fraction_err,glare_method,gamma_true,gamma_est,tone_method,density_abs_rmse,density_diff_rmse
2,0.75,partial,False,4,3.572356105035499,2.747322917785968,-0.2309493127201361,slanted_edge,0.7835025638221926,0.32391011250138924,-0.4595924513208034,beamstop_surface,1.817171101021753,2.2,two_point,0.6542125603260652,0.633017799574379
2,1.0,partial,False,2,4.637670820112042,2.9046365792366107,-0.3736863412900795,slanted_edge,0.9973669454246407,1.1009202683962798,0.1035533229716391,beamstop_constant,2.3054017537622067,2.2,two_point,0.9261739135335401,0.7275820701926436
3,0.0,full,True,4,1.0172775598437591,1.0651394249923343,0.047048973690057734,slanted_edge,0.04804673181601577,0.03787172562790208,-0.010175006188113692,beamstop_surface,2.2402546013605935,2.2,two_point,0.23708134172098,0.23332519539070082
3,0.25,partial,False,4,1.7091320800174075,1.4825841291525919,-0.13255145902036325,slanted_edge,0.3001514647661989,0.032849866808833235,-0.2673015979573657,beamstop_surface,1.9691187582656517,2.2,two_point,0.3662746935482499,0.35342699537660316
3,0.5,full,True,4,2.4306450810423974,2.109132135850362,-0.13227473961527642,slanted_edge,0.47640620044854043,0.23231970812985517,-0.24408649231868526,beamstop_surface,2.465000886908225,2.2,two_point,0.515649100827767,0.4922258136283106
3,0.75,partial,False,4,3.4546435320733817,2.616878223813301,-0.24250412538432786,slanted_edge,1.048432643509372,0.0,-1.048432643509372,beamstop_surface,2.1987676660983597,2.2,two_point,0.7808535186676493,0.6318643650282562
3,1.0,none,False,3,4.573319591412581,3.1660838242259937,-0.30770553840780857,slanted_edge,1.350853297581391,0.0,-1.350853297581391,none,2.5726624966100036,2.2,prior,1.1639365420547905,0.9962505358593434
4,0.0,full,True,4,0.8199990554992201,0.9336889478323065,0.13864636985937903,slanted_edge,0.045500331462321374,0.05217079560210855,0.006670464139787176,beamstop_surface,2.4511182600796095,2.2,two_point,0.18458518329861817,0.15804838426801773
4,0.25,partial,False,4,1.7474763045690846,1.548325117174044,-0.11396502881001866,slanted_edge,0.41802131623698446,0.17238848585577396,-0.2456328303812105,beamstop_surface,1.9679968040093798,2.2,two_point,0.39294632907568516,0.3868430730726187
4,0.5,partial,False,4,2.738728384684646,2.352758856280333,-0.14093019613142685,slanted_edge,1.0175244864056683,0.24382026746209318,-0.7737042189435751,beamstop_surface,2.3143600910940796,2.2,two_point,0.5293398490014737,0.48793251967533385
4,0.75,partial,False,4,3.4136480220407615,2.720150056944929,-0.2031545023441645,slanted_edge,0.9717028696936046,0.004946763230169241,-0.9667561064634353,beamstop_surface,2.4057650611348973,2.2,two_point,0.6085799470119254,0.5458015337178962
4,1.0,none,False,2,4.808163453712681,3.0097363805445907,-0.3740361762825291,slanted_edge,1.082133228329635,0.0,-1.082133228329635,none,2.3013493801427396,2.2,prior,1.120205532866845,0.9759421771050568
5,0.0,full,True,4,1.0784302492305056,1.1147828277228324,0.033708789713813754,slanted_edge,0.04000449966358868,0.027302180693697494,-0.012702318969891189,beamstop_surface,2.506111755671813,2.2,two_point,0.2657033086450854,0.24994701522642038
5,0.25,partial,False,4,1.9568867873272928,1.7280534986153682,-0.1169374182471047,slanted_edge,0.3099563446981642,0.08926291900479905,-0.22069342569336514,beamstop_surface,2.0963536814528934,2.2,two_point,0.4204482705947944,0.4173186437199367
5,0.5,none,False,3,2.6642626312382665,2.2293692768757185,-0.16323216385031195,slanted_edge,0.8767065946228814,0.0,-0.8767065946228814,none,2.3494503780927967,2.2,prior,1.0869548106126097,0.8479733491932248
5,0.75,none,False,3,3.6527926995686517,2.717164862481861,-0.25614041475643456,slanted_edge,1.4477471455354527,0.0,-1.4477471455354527,none,1.9807499999129827,2.2,prior,1.0424709746713479,0.9706205043974443
