severity,finding,predicted_floor,floor_lung_median,empirical_threshold,ratio,dprime_slope,linearity_r2,n_trials,veil_fraction,psf_sigma,passes,seed,degenerate,unphysical
0.0,consolidation,0.04141617039261797,0.034666033470428625,0.01579372149086725,2.622318648367134,316.5814974571547,0.8294949950191708,24,0.052632138976298044,1.2805921563015532,False,2,False,False
0.25,miliary_nodule,0.21528271442530317,0.1662941177847494,0.5067634126463619,0.4248189767707941,9.86653707671904,0.962792096499342,24,0.22882590643715622,1.3529893652286547,False,2,False,False
0.25,infiltrate,0.052476594542604775,0.038706991544644596,0.046460582137297014,1.129486375946166,107.61810915808921,0.8354643859819509,24,0.22882590643715622,1.3529893652286547,False,2,False,False
0.25,cavity_wall,0.1013496069571821,0.07437420001898509,0.25165657105102174,0.4027298255471904,19.868346688178796,0.9831280294847208,24,0.22882590643715622,1.3529893652286547,False,2,False,False
0.25,consolidation,0.03684168860840378,0.037847765328784644,0.02442478213708838,1.5083732743908762,204.71011663222302,0.9930689944396242,24,0.22882590643715622,1.3529893652286547,True,2,False,False
0.5,miliary_nodule,0.18523063287879926,0.14504767767743387,1.2885296757247195,0.1437534861388569,3.8803918095156047,-0.5859915204151267,24,0.3705846495998841,1.3335362571483815,False,2,False,False
0.5,infiltrate,0.06355425360786782,0.04631868543301943,0.10097732570516911,0.6293913327971452,49.51606675144939,0.9995272253057317,24,0.3705846495998841,1.3335362571483815,True,2,False,False
0.5,cavity_wall,0.10019989618016271,0.07118259449074309,0.4701357423047593,0.21312971374809758,10.63522627632684,0.811404869162181,24,0.3705846495998841,1.3335362571483815,False,2,False,False
0.5,consolidation,0.04590938220286663,0.04578741563418081,0.04547986524746939,1.0094441123134406,109.93876021385556,0.9241746946676462,24,0.3705846495998841,1.3335362571483815,True,2,False,False
0.75,miliary_nodule,0.18179015521462027,0.13630571307023265,2.5361291581072685,0.07168016448747885,1.9715084241732925,-1.4134971194945911,24,0.48557497537296257,1.2592626879687543,False,2,False,False
0.75,infiltrate,0.08799049356236029,0.063930151260274,0.2663025644470565,0.3304154946651054,18.77563594020157,0.9999131434082491,24,0.48557497537296257,1.2592626879687543,False,2,False,False
0.75,cavity_wall,0.11727563112230474,0.0799001076888255,1.5504362784324537,0.07564040699620019,3.22489873950523,-0.36100001358198197,24,0.48557497537296257,1.2592626879687543,False,2,False,False
0.75,consolidation,0.06662671586191121,0.06362110359394249,0.04843655430051926,1.3755461515394571,103.22782188382045,0.9279083764651986,24,0.48557497537296257,1.2592626879687543,True,2,False,False
0.0,miliary_nodule,0.4996176680810389,0.23122818804671924,0.1828567463201812,2.73229004745721,27.343809296732353,0.9833453133393796,24,0.019938772677943507,1.2267634267393959,False,3,False,False
0.0,infiltrate,0.06818486589723614,0.021560314972103835,0.027242517620776018,2.5028841624107523,183.5366345211369,0.9890610341844974,24,0.019938772677943507,1.2267634267393959,False,3,False,False
0.0,cavity_wall,0.21568468945328162,0.09461715795439746,0.12591136773406555,1.7129882180997684,39.710473247819706,0.9980686599529482,24,0.019938772677943507,1.2267634267393959,True,3,False,False
